"filename", "language", "JSON with Comments", "JavaScript", "XML", "Vue", "YAML", "SCSS", "Properties", "Markdown", "JSON", "HTML", "Docker", "comment", "blank", "total"
"/Users/suwei/Desktop/ep-analysis-front/src/assets/indicator.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/suwei/Desktop/ep-analysis-front/src/assets/module.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/suwei/Desktop/ep-analysis-front/src/assets/noPermission.svg", "XML", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152
"/Users/suwei/Desktop/ep-analysis-front/src/assets/notRank.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/suwei/Desktop/ep-analysis-front/src/assets/purple.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/suwei/Desktop/ep-analysis-front/src/assets/yellow.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/suwei/Desktop/ep-analysis-front/src/components/BarChart/index.vue", "Vue", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"/Users/suwei/Desktop/ep-analysis-front/src/components/Breadcrumb/index.vue", "Vue", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 2, 7, 93
"/Users/suwei/Desktop/ep-analysis-front/src/components/Breadtext/index.vue", "Vue", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/suwei/Desktop/ep-analysis-front/src/components/CardContainer/index.vue", "Vue", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/suwei/Desktop/ep-analysis-front/src/components/DisplayCard/index.vue", "Vue", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/suwei/Desktop/ep-analysis-front/src/components/FilterItem/index.vue", "Vue", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/suwei/Desktop/ep-analysis-front/src/components/Hamburger/index.vue", "Vue", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/suwei/Desktop/ep-analysis-front/src/components/Pagination/index.vue", "Vue", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 4, 102
"/Users/suwei/Desktop/ep-analysis-front/src/components/SvgIcon/index.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 5, 68
